#         ms          mr          mg          mh           d        psat        dn4k         sfr      hdelta        rexp     nsersic         con       sigv1          ka
#
   2.998e+10      -20.28      -19.49    4.66e+11           0           0       1.204      -9.259       1.846       11.54       5.903       1.915       95.86           0
   1.557e+10      -19.38      -18.79   2.972e+11           0    0.004898       1.526      -10.28      0.7602       5.854      0.9018       2.391       40.93           0
   1.946e+10      -19.51      -18.65   3.398e+11           0           0       1.719      -11.55     -0.7325       2.881           6       3.273       99.95           0
    1.46e+11      -20.82      -19.86   6.049e+12           0           0       1.818       -11.3     -0.9532       6.627       2.686       3.185       195.7           0
   2.182e+11      -21.38       -20.4   7.004e+12           0           0       1.857      -12.13      -1.323       7.295       3.713       2.855         202           0
   9.611e+09      -18.71      -17.87   2.312e+11           0           0       1.738      -11.62     -0.4041       1.679       3.045       2.688       79.49           0
   4.866e+10      -20.49      -19.79   7.496e+11           0           0       1.349      -10.44       2.777       13.98      0.5423       2.024       45.05           0
   1.253e+10         -20      -19.55   2.631e+11           0           0       1.153      -9.863       2.428       7.516           6       2.964       89.44           0
    1.26e+10      -18.94      -18.32   2.639e+11           0           0       1.325      -10.22       2.832       8.521      0.9558       2.486       30.09           0
   2.313e+10      -19.81      -19.12   3.829e+11           0           0       1.529      -10.78       1.227       9.983       1.133        2.52       85.22           0
   1.721e+10      -19.73      -19.14    3.14e+11           0           0       1.271      -9.834       3.564       7.414       1.784       2.415       54.89           0
   1.505e+10      -18.43      -17.64   2.913e+11           0           0       1.801      -10.67       3.624       6.885      0.9893       2.479       59.78           0
   8.762e+09      -17.54      -17.21   2.204e+11           0           0      0.8724      -9.741      -1.705       4.275        2.08       1.989         850           0
   9.155e+09       -18.8      -18.17   2.259e+11           0           0       1.379      -10.24       2.418       4.895       0.908       2.131       109.8           0
   6.321e+09      -18.79       -18.2    1.89e+11           0           0       1.329      -10.63       4.778           0      0.8586       2.538           0           0
    1.55e+10      -18.75      -17.95   2.966e+11           0           0       1.562      -10.61     -0.3196       7.256      0.7731       2.306           0           0
   1.039e+11      -20.73      -19.79   1.992e+12           0           0       1.669      -11.92     -0.7082           0      0.8411       2.004           0           0
   4.496e+10      -20.34      -19.72   6.887e+11           0           0       1.357      -10.08       0.461       3.829       3.017       3.062       124.8           0
   5.757e+10      -20.32      -19.68   9.031e+11           0           0       1.516      -10.29     -0.0577       7.915       1.214       2.229       97.52           0
   7.376e+09      -19.03      -18.49   2.027e+11           0      0.4007       1.296      -9.969       2.128       5.343      0.9439       2.305       42.95           0
     5.5e+10      -20.26      -19.28   8.578e+11           0           0       2.014      -12.01      -1.893           0       1.276       2.525           0           0
   3.084e+10       -20.1      -19.37   4.766e+11           0           0       1.454      -10.69       1.133       7.502       1.725       2.506       77.13           0
   5.069e+09      -19.03      -18.49   1.718e+11           0           0       1.186      -9.782       4.259        4.86      0.8881       2.148       53.54           0
   1.522e+10      -19.29      -18.66    2.93e+11           0           0       1.364       -10.5       2.723       11.81      0.8009       2.337       69.77           0
   2.038e+10      -19.15      -18.46   3.498e+11           0           0       1.405      -10.48       1.478       12.35       1.202       2.413       53.62           0
    1.48e+10      -19.04      -18.45    2.88e+11           0           0       1.495      -10.99      0.1028       6.403      0.7977       2.531       74.24           0
   4.086e+10      -20.32      -19.62   6.187e+11           0           0        1.47      -10.72      0.5172          12      0.6036       1.761       61.07           0
   2.889e+10      -19.43      -18.49   4.521e+11           0           0       1.951      -11.72      -1.923       2.863       4.569       3.117       160.8           0
   5.937e+10      -20.03      -19.05   9.313e+11           0           0       1.955       -12.2      -2.101       2.845           6        3.33         211           0
   5.099e+09      -19.91      -19.59   1.722e+11           0           0       1.155      -9.364       4.548       6.066       1.242       2.197       73.78           0
   1.229e+10      -19.01      -18.35   2.602e+11           0           0       1.574      -10.28       2.275       3.757       1.642       2.505       74.54           0
   1.997e+11      -21.36      -20.55   7.235e+12           0           0       2.009      -12.34      -2.561       6.252           6        3.41       233.2           0
   4.269e+10      -20.09      -19.32   6.505e+11           0           0        1.49      -11.41      0.1139       10.09       2.709        2.13       79.57           0
   1.026e+10      -19.29      -18.87   2.385e+11           0           0       1.272      -9.955       3.806       8.655      0.9082       2.208       38.74           0
   3.889e+10      -20.21      -19.56   5.918e+11           0           0       1.429      -10.12       3.367        6.77      0.8355       2.221       105.1           0
    8.76e+09      -18.35      -17.51   2.204e+11           0           0       1.687      -11.37      -2.048       2.037        4.65       3.003       107.5           0
   7.316e+09      -18.42      -17.93   2.021e+11           0           0       1.412      -11.15       5.068       7.355       2.448       1.987       13.89           0
   1.877e+10      -19.03      -18.17   3.315e+11           0           0       1.348      -9.955       3.565       4.374      0.8591       2.189       71.23           0
   9.459e+10      -20.47      -19.45   6.376e+12           0           0       1.819      -12.05      -1.451       5.707       4.752       3.092       184.8           0
   7.759e+09      -18.92      -18.27   2.083e+11           0           0       1.449      -10.13       2.495       2.995       1.806       2.446       56.77           0
   2.197e+10      -19.46      -18.78   3.692e+11           0           0        1.34      -10.48       5.848           0       1.025       2.453           0           0
   7.559e+10      -20.64      -19.82   1.749e+12           0           0       1.827      -12.23       -1.74       6.161       4.273       2.936         148           0
   4.691e+10      -20.33      -19.54   7.187e+11           0           0       1.299       -10.1      0.5493       2.356       5.377        3.29       165.2           0
   7.575e+10      -19.92      -19.14   1.282e+12           0           0       1.467      -10.28       2.238       8.717       1.357       2.404       115.8           0
   1.081e+10      -19.13      -18.58   2.448e+11           0           0       1.477      -10.13       3.797       8.184      0.8822       1.954       27.33           0
   2.726e+10      -19.73      -18.98   4.316e+11           0           0       1.719      -10.99     0.04073       5.377       1.841       2.362        99.7           0
   4.371e+10      -20.15      -19.52   6.703e+11           0           0       1.515      -10.75      0.5583       5.513       2.478        2.44       110.1           0
   7.787e+10      -21.18      -20.49   1.665e+12           0           0       1.393      -11.31      0.7535           0       1.502       2.325           0           0
   3.702e+10      -19.63      -18.98   5.653e+11           0       0.246       1.098      -8.224       3.884           0       1.573       2.442           0           0
   5.498e+09       -18.9       -18.3   1.778e+11           0           0        1.22      -10.02       4.265       3.794       1.166       2.317       60.91           0
   3.204e+10      -19.39      -18.63   4.932e+11           0           0       1.779      -11.04     -0.9667       5.219       2.335       2.577       94.54           0
   1.103e+10      -18.96      -18.49   2.466e+11           0           0       1.421      -10.14       4.603       10.75       1.014       2.155       65.48           0
   2.798e+10      -19.46      -18.57   4.399e+11           0           0       1.834      -12.04      -1.737       2.694       4.516        3.34       122.6           0
    4.28e+10      -20.26      -19.43   6.536e+11           0           0       1.559      -10.59       1.569           0        1.62       2.598           0           0
   3.764e+10      -20.71      -20.09   5.744e+11           0           0       1.282      -10.23       2.903       7.827       1.759       2.112       60.57           0
   2.158e+10      -20.01      -19.45   3.639e+11           0           0       1.415      -10.29       1.912       8.103       1.356       2.057       65.17           0
   1.746e+10      -19.63      -18.97   3.165e+11           0           0       1.361       -10.2      0.8086        3.16       1.422         2.8       75.32           0
    3.22e+10      -19.66      -18.77   4.965e+11           0           0       1.881      -11.95      -1.946       3.067        5.56       3.389         130           0
   7.691e+09       -18.7      -18.15   2.072e+11           0           0       1.312      -10.25       3.388       10.89      0.7042       2.273       51.54           0
       5e+10      -20.06      -19.13   7.732e+11           0           0       1.917      -11.85      -2.463       2.588       5.431       3.419       208.5           0
   2.998e+10      -19.92      -19.46   4.662e+11           0           0       1.413      -10.17      0.8433       11.55       1.153       2.042       72.17           0
   1.284e+10      -19.61      -19.32   2.667e+11           0           0           0      -9.817        3.15       9.609       1.716       2.062       27.36           0
   2.856e+10      -19.85      -19.23   4.478e+11           0      0.2186       1.488       -10.4      0.9154        6.83       1.751       2.539       64.15           0
   2.093e+10      -19.45      -18.73   5.427e+11           0           0       1.526      -10.56      -2.911       7.963      0.6546        2.09        48.4           0
   2.613e+10      -19.46      -18.59   4.169e+11           0           0       1.797      -11.26     -0.9779       2.862       4.423       3.097       126.3           0
   2.699e+10      -19.23      -18.36   4.285e+11           0           0       1.734      -11.08       1.343       2.741       2.922       2.863       84.41           0
    4.76e+10      -20.32       -19.7   7.293e+11           0           0       1.548      -10.72    -0.05064       10.28       1.231       1.972          83           0
    7.65e+09      -18.79       -18.2   2.068e+11           0           0       1.523      -10.47       0.815       6.818      0.9746       2.014       65.38           0
   1.528e+10      -18.93      -18.01   2.938e+11           0      0.4512       1.786      -11.57      -1.749       3.184        4.07       2.627       79.66           0
   6.537e+09         -18      -17.31   1.917e+11           0           0       1.481       -10.9       1.367       10.28       1.591       2.334          21           0
   2.816e+10      -19.38      -18.46   4.424e+11           0           0       1.931      -11.96      -2.455       2.743           6       2.747       150.4           0
   1.437e+11         -21      -20.03   3.486e+12           0           0       1.942       -12.1      -1.843       5.084       3.922       3.296       221.2           0
   4.669e+10      -20.02      -19.33   7.138e+11           0           0       1.686      -11.24      -0.279       8.867       2.617       2.227       92.93           0
   1.387e+10      -19.35      -18.71    2.78e+11           0           0       1.336      -10.03       3.198       3.497       1.842       2.413       89.26           0
   7.653e+09      -19.01      -18.45   2.068e+11           0           0       1.217       -9.92       2.193       5.761      0.8967       2.541       56.34           0
   1.715e+10      -19.64      -18.81   3.136e+11           0           0       1.711      -11.71     -0.1041       2.996           6       3.463       91.52           0
   7.552e+09         -19      -18.41   2.054e+11           0           0        1.27      -10.13       3.976       9.543      0.8521       2.472       73.52           0
   7.663e+10       -20.5       -19.6   1.306e+12           0           0       1.854      -12.32      -1.634        3.67           6       3.658       176.3           0
   1.643e+10      -19.26      -18.41   3.055e+11           0           0       1.696      -11.51     0.07819       3.023       5.886       3.028       76.21           0
   7.542e+09      -18.56      -17.76   2.054e+11           0           0       1.587      -11.35       1.312       2.674       4.003       2.866       85.94           0
   8.016e+09      -19.18      -18.63   2.111e+11           0           0       1.285      -10.03       3.794       8.406       1.187       1.947       41.85           0
   1.665e+11      -20.77      -19.83   4.928e+12           0      0.2644       1.915      -12.32      -1.587       10.02       4.801       2.702       196.4           0
   1.738e+11      -21.09      -20.12   5.959e+12           0           0       1.889      -12.25      -1.714       8.362       3.896       2.563       189.8           0
   5.138e+09      -18.43      -17.96   1.728e+11           0           0       1.313      -9.853       2.757       2.652       2.382       2.445        46.4           0
   8.372e+09      -18.31      -17.46   2.155e+11           0           0       1.618      -11.44      -2.758       1.768        4.69       3.053       103.5           0
    1.86e+10      -19.58      -18.92   3.295e+11           0           0       1.481      -9.778       1.571       7.516       2.838       1.841       45.73           0
   2.827e+10      -19.92      -19.32   4.438e+11           0           0       1.476      -10.28       2.356       9.596      0.9077       2.383       65.53           0
   1.676e+10      -19.84      -19.42   3.092e+11           0           0       1.362      -9.834       3.073       4.485       1.301        2.14          51           0
   6.995e+10      -20.37      -19.39    4.63e+12           0           0       1.938       -12.1      -2.638       3.285       4.589       3.585       179.9           0
   4.908e+10      -20.03       -19.1   7.564e+11           0           0       1.967      -12.03      -2.065       4.425           6       3.222       149.1           0
    1.33e+10      -18.46      -17.86   2.721e+11           0           0       1.739      -10.52      -1.416       2.843       3.441       2.385       113.5           0
   5.481e+09      -19.36      -19.04   1.776e+11           0    0.000968       1.208      -9.605       4.784        4.94       1.355       2.219       47.51           0
   5.511e+10      -19.89      -19.02   8.604e+11           0           0       1.929      -11.17      -2.217       5.366       1.921       2.456       118.6           0
   2.096e+10      -19.11      -18.25   3.568e+11           0           0       1.472      -10.21       1.993       3.896      0.8246       2.261       91.46           0
   1.126e+10      -18.76      -17.84   2.494e+11           0           0       1.614      -11.07       1.799       4.776       1.361       2.567       74.34           0
